Province_State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
AN,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP,1,0,0,0,0,2,0,2,1,1,1,2,1,2,6,2,2,21,67,38,15,28,64,47,11,34,15,18,24,15,19,45,41,9,38,31,44,75,35,56,80,62,61,81,80,82,73,71,60,62,58,67,67,60,56,54,43,50,38,71,48,68,102,48,25,52,57,71,45,62,47,66,106,97,134,128
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,7,3,0,0,2,0,1,0,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,2,1,8,6,2,1,2,0,15,7,3,3,8,15,42,31,22,15,121,46,156,134,101,97
BR,0,0,0,0,0,0,0,0,2,1,0,1,3,2,2,4,0,6,3,5,2,1,0,0,6,1,19,2,4,0,2,0,6,11,2,1,10,17,13,17,27,53,28,26,69,20,37,22,41,15,36,11,7,7,8,29,32,96,42,130,74,46,34,145,142,103,96,257,211,179,228,180,163,231,68,149
CH,0,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,5,2,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,3,0,1,0,0,0,1,8,9,11,12,6,14,6,3,5,17,5,11,11,23,4,8,6,4,0,0,0,0,5,3,3,16,1,6,37,4,12,1,10
CT,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,1,1,0,0,0,1,0,0,0,0,8,0,7,6,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,14,1,1,0,0,0,0,0,0,0,0,1,6,1,18,10,5,14,14,44,42,38,40,68,4,34
DN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL,7,0,0,1,2,4,6,7,0,3,0,5,1,4,9,23,25,23,32,141,93,59,58,22,51,93,51,183,166,85,356,51,17,62,67,186,110,78,75,92,128,138,111,293,190,206,125,76,223,384,427,349,206,428,448,338,224,381,310,406,359,472,425,438,422,299,500,534,571,660,591,508,635,412,792,1024
GA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,9,9,8,4,2,2,1,11,1,0,1,1
GJ,0,0,0,0,0,2,5,7,4,12,4,4,5,4,8,8,7,4,13,1,7,13,20,18,29,11,76,116,90,48,56,78,116,163,170,277,367,196,239,229,217,191,256,230,247,226,308,313,326,333,374,376,441,380,388,390,394,398,347,362,364,324,340,1057,391,366,395,398,371,363,396,394,405,361,376,367
HR,14,0,0,1,1,1,2,2,0,7,2,1,1,1,2,0,1,7,0,6,9,26,6,20,33,24,3,6,3,16,1,2,6,11,8,9,18,1,4,9,6,5,12,9,5,7,3,28,18,19,66,75,31,46,31,22,28,28,27,50,13,25,36,33,23,18,36,29,37,37,64,53,29,92,76,123
HP,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,7,1,4,9,0,1,0,4,0,0,1,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,2,6,1,8,1,6,2,2,2,10,2,18,42,16,17,18,20,24,26,8
JK,2,0,1,0,1,0,0,0,0,0,2,5,3,6,13,5,11,6,7,8,5,17,14,3,16,33,26,23,17,21,25,8,22,14,14,13,13,14,12,27,27,20,40,29,23,19,16,33,25,27,35,25,15,34,18,30,13,25,18,55,37,12,30,108,62,106,28,73,59,40,80,52,47,91,162,115
JH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,9,1,3,2,5,3,1,1,3,1,8,5,0,0,7,6,8,15,21,2,2,3,3,2,0,0,10,2,5,22,2,1,4,11,5,26,8,6,6,5,20,42,13,20,27,20,35,21,32,12
KA,6,0,1,2,5,1,0,5,6,7,8,10,4,9,17,2,5,13,9,14,4,16,7,12,12,6,16,10,8,17,15,13,19,36,44,25,6,18,10,9,18,29,26,3,9,11,12,30,24,12,13,37,22,20,12,48,41,54,14,63,34,28,69,36,55,99,149,67,143,138,216,130,93,101,135,115
KL,19,5,3,0,0,1,12,12,15,28,14,9,19,39,6,20,32,7,24,21,9,11,8,13,9,9,12,7,10,2,3,8,1,7,1,4,2,6,19,11,10,3,7,11,13,4,10,2,0,2,0,0,3,0,0,1,2,7,7,5,10,26,16,11,14,29,12,24,24,42,62,53,49,67,40,85
LA,0,0,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,3,1,0,1,20
LD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP,0,0,0,0,0,0,4,0,2,0,1,8,5,9,10,0,8,19,32,9,47,25,14,63,34,51,70,40,78,33,52,127,197,226,146,92,5,78,67,35,100,159,99,145,75,222,173,65,90,73,49,105,107,89,114,89,116,157,171,201,187,253,169,195,187,259,229,270,246,189,201,294,194,165,237,192
MH,14,18,6,3,3,4,4,12,10,23,10,15,3,31,30,17,17,82,33,88,64,148,112,121,150,117,229,210,187,221,352,346,236,285,120,327,552,466,552,431,778,390,811,440,522,728,597,583,1008,790,678,1567,984,1233,1216,1089,1165,1943,1230,1026,1495,1602,1576,1606,2347,2005,2078,2161,2345,2940,2608,3041,2436,2091,2190,2598
MN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,16,0,1,1,3,4,3,5,11
ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,1
MZ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,9
OR,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,15,1,18,1,2,0,6,2,4,0,1,5,0,0,0,1,0,13,5,4,6,5,6,3,15,0,7,18,11,6,2,7,8,28,14,51,82,25,38,22,101,134,65,0,91,48,102,74,51,86,80,67,102,79,76,67
PY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,3,0,1,0,0,5,1,0,3,0,15,8,0,0,4
PB,1,0,0,0,1,0,1,10,8,2,6,2,2,5,0,0,3,1,4,1,6,12,3,11,20,7,24,21,7,12,6,8,2,11,14,23,10,1,6,27,5,15,10,14,8,12,33,105,105,187,330,130,219,75,118,87,31,61,54,37,10,11,-3,14,18,16,22,3,23,1,16,15,21,25,33,19
RJ,3,1,0,0,3,2,8,7,4,4,0,6,2,10,4,5,20,14,27,13,46,27,60,35,42,40,80,98,139,104,93,108,71,55,98,122,127,98,159,153,76,70,49,102,77,102,76,144,82,106,114,175,97,159,110,152,129,106,174,138,202,206,213,213,242,305,338,170,212,267,248,286,272,236,280,251
SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TN,1,0,0,0,1,1,0,3,3,3,6,8,3,9,4,8,17,57,110,75,102,74,86,50,69,48,96,77,58,106,98,31,38,25,56,49,105,43,76,33,54,72,66,64,52,121,104,161,203,231,266,527,508,771,580,600,526,669,798,716,509,447,434,477,639,536,688,743,776,786,759,765,805,646,817,827
TG,1,2,1,1,8,3,3,2,6,6,4,4,3,15,8,3,7,20,30,27,75,43,62,30,40,49,18,16,16,28,61,52,6,50,66,43,49,14,56,15,27,13,7,11,2,6,7,22,6,17,21,3,11,11,15,10,31,33,79,51,41,47,40,55,42,41,42,27,38,62,52,41,66,112,107,117
TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,13,13,22,24,30,17,16,0,2,1,1,0,11,-2,0,8,0,2,0,16,3,4,34,10,2
UP,12,1,0,2,2,3,4,4,2,2,3,3,4,7,16,7,24,8,13,11,46,60,44,27,27,29,49,23,19,31,75,102,75,70,44,126,125,84,153,112,61,111,172,80,113,67,81,77,117,159,158,121,114,118,73,143,159,94,106,91,94,144,155,201,206,141,321,249,340,220,282,251,229,227,267,179
UT,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,3,6,6,4,5,0,4,0,0,0,0,0,2,0,0,3,2,2,2,0,0,1,1,0,3,0,3,1,2,0,2,1,0,1,0,0,2,4,1,0,1,3,6,4,9,1,4,15,15,19,8,91,73,32,51,69,31
WB,0,0,0,1,0,0,1,2,3,0,2,0,1,5,3,3,1,15,0,16,0,0,27,0,11,8,4,13,10,8,18,38,23,18,24,32,23,29,53,31,33,58,57,40,38,48,28,33,37,127,276,61,85,112,92,130,108,153,124,110,117,87,84,115,101,147,137,142,94,135,127,208,149,193,183,344
UN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,282,307,217,279,439,304,328,1043,319
